,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,On Cloudsurfer,Men's Shoes - Creek/White, $159.95 , Technologies  MIDSOLECloudtec Elements provides a unique design delivering a smooth and gentle heel-toe transition.Helion foam provides a lightweight and bouncy ride that is well cushioned.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh a highly breathable construction with a soft fit.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudsurfer/descpage-ONCS0M2.html
1,On Cloudsurfer,Men's Shoes - All Black, $159.95 , Technologies  MIDSOLECloudtec Elements provides a unique design delivering a smooth and gentle heel-toe transition.Helion foam provides a lightweight and bouncy ride that is well cushioned.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh a highly breathable construction with a soft fit.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudsurfer/descpage-ONCS0M1.html
2,On Cloudsurfer,Men's Shoes - White/Frost, $159.95 , Technologies  MIDSOLECloudtec Elements provides a unique design delivering a smooth and gentle heel-toe transition.Helion foam provides a lightweight and bouncy ride that is well cushioned.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh a highly breathable construction with a soft fit.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudsurfer/descpage-ONCS0M4.html
3,On Cloudsurfer,Men's Shoes - Flame/White, $159.95 , Technologies  MIDSOLECloudtec Elements provides a unique design delivering a smooth and gentle heel-toe transition.Helion foam provides a lightweight and bouncy ride that is well cushioned.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh a highly breathable construction with a soft fit.  ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudsurfer/descpage-ONCS0M3.html
4,On Cloudflow 3,Men's Shoes - Black/Asphalt, $139.95 ," Technologies  MIDSOLECloudtec Elements consist of 18 ""cloud"" pods for a cushioned foot strike that interlocks for a firm push-off.Helion foam provides lightness, cushioning, and durability.Speedboard provides torsional rigidity and increases energy return upon toe-off.OUTSOLECloudTec rubber gives high energy return and increased durability.UPPEREngineered mesh is updated with a weave that adapts to the foot to provide breathable support.Perforated Tongue provides comfort without giving up breathability.Heel Hold adds a secure fit for tighter corners.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudflow_3/descpage-OCF01M9.html
5,On Cloudflow 3,Men's Shoes - Alloy/Magnet, $139.95 ," Technologies  MIDSOLECloudtec Elements consist of 18 ""cloud"" pods for a cushioned foot strike that interlocks for a firm push-off.Helion foam provides lightness, cushioning, and durability.Speedboard provides torsional rigidity and increases energy return upon toe-off.OUTSOLECloudTec rubber gives high energy return and increased durability.UPPEREngineered mesh is updated with a weave that adapts to the foot to provide breathable support.Perforated Tongue provides comfort without giving up breathability.Heel Hold adds a secure fit for tighter corners.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudflow_3/descpage-OCF01MB.html
6,On Cloudgo,Men's Shoes - Black/Eclipse, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGM4.html
7,On Cloudgo,Men's Shoes - Black/Shale, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGM1.html
8,On Cloudgo,Men's Shoes - Frost/Hay, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGM3.html
9,On Cloudmonster,Men's Shoes - Frost/Cobalt, $169.95 ," Technologies  MIDSOLEHigh Volume Cloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.OUTSOLECloudTec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.Anatomically designed heel counter helps with pronation.Star Lacing helps create a unique foot wrap that secures the foot in place while relieving unnecessary pressure across the forefoot.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudmonster/descpage-OCMSM06.html
