,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Saucony Tempus,Women's Shoes - White/VIZI Pink, $112.00 $160.00* ," Technologies  MIDSOLEPWRRUN PB is an ultralight PeBa-based foam that provides an extremely bouncy running experience.Contoured PWRRUN Frame starts above the midsole to support the foot upon landing, and gives a snappy toe-off.OUTSOLEXT-900 Carbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT mesh upper was inspired by Saucony's track spikes to stretch and adapt for the ultimate light and unrestrained feeling.Heel Support Frame supports the heel through the gait cycle.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Min</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Tempus/descpage-STP1W12.html
1,Saucony Peregrine 13,Women's Shoes - Arroyo, $98.00 $140.00* , Technologies  MIDSOLEPWRRUN cushioning ensures a responsive yet protective feel.OUTSOLEPWRTRAC is a tacky rubber compound that offers significantly more traction than traditional rubber. 5.0mm Lugs provides additional traction and adaptable to changing trail conditions.Rock plate protects your feet from sharp trail objects.UPPERUpdated reinforced upper helps protect feet from trail debris.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Peregrine_13/descpage-SPE13W5.html
2,Saucony Endorphin Speed 3,Women's Shoes - Sprig/Black, $169.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Nylon Plate keeps your momentum going with a semi-rigid design that provides snappy transitions.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLEXT 900 Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT mesh upper was inspired by Saucony's track spikes to stretch and adapt for the ultimate light and unrestrained feeling.Heel Support Frame supports the heel through the gait cycle.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Speed_3/descpage-SES3W10.html
3,Saucony Ride 16,Women's Shoes - Rose/Black, $139.95 , Technologies  MIDSOLEPWRRUN foam is a soft and lively foam with excellent durability and a touch of softness.OUTSOLEStrategically Blown Rubber is Saucony's rubber outsole that is placed in high wear areas for high levels of traction.UPPERPWRRUN+ sockliner provides a soft and strong heel lockdown.Updated Engineered Mesh creates a cool and breathable upper.  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Ride_16/descpage-SR16W03.html
4,Saucony Kinvara 14,Women's Shoes - Citron/Black, $119.95 ," Technologies  MIDSOLEPWRRUN foam is  a lightweight foam that offers comfort, rebound, and durability.PWRRUN+ is additional form that provides a lightweight and springy underfoot feel.OUTSOLEStrategic Rubber is place in forefoot and heel to offer added durability in high wear areas.UPPERUpdated Engineered mesh streamlined upper material that creates a lightweight and breathable construction  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Kinvara_14/descpage-SK14W02.html
5,Saucony Guide 16,Women's Shoes - Fossil/Ether, $98.00 $140.00* ," Technologies  MIDSOLEPWRRUN provides a lively ride with excellent durability and a touch of softness.HOLLOW-TECH Support Creates medial stability that is lightweight and feels less intrusive.OUTSOLERubber increases the flexibility, adaptability, and durability of the shoe.UPPERUpdated Engineered mesh providing a simple and breathable upper.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Mod</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Guide_16/descpage-SG16W03.html
6,Saucony Endorphin Elite,Women's Shoes - Mars, $274.95 ," Technologies  MIDSOLEPWWRUN HG foam is bouncy, lively, and lightweight. Carbon-Fiber Plate is forked and works with the foam to deliver a poppy ride.OUTSOLERubber is thin and strategically placed to keep weight down without compromising traction.UPPERKnit Mesh is lightweight, breathable, and secure.Midfoot Lacing Structure offers a highly secure and comfortable fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Elite/descpage-SAEEW2.html
7,Saucony Endorphin Elite,Women's Shoes - Slime, $274.95 ," Technologies  MIDSOLEPWWRUN HG foam is bouncy, lively, and lightweight. Carbon-Fiber Plate is forked and works with the foam to deliver a poppy ride.OUTSOLERubber is thin and strategically placed to keep weight down without compromising traction.UPPERKnit Mesh is lightweight, breathable, and secure.Midfoot Lacing Structure offers a highly secure and comfortable fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Elite/descpage-SAEEW1.html
8,Saucony Endorphin Pro 3,Women's Shoes - Invader, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3W08.html
9,Saucony Endorphin Pro 3,Women's Shoes - Fog/VIZI Pink, $224.95 , Technologies  MIDSOLEPWRRUN PB is an ultralight foam that provides an extremely bouncy running experience.S-Curve Carbon Fiber Plate works with the PWRRUN PB to reduce fatigue while running at top speeds.SPEEDROLL is an always forward geometry that creates a lively rolling feel underfoot.OUTSOLECarbon Rubber is placed strategically to increase traction and durability while keeping weight to a minimum.UPPERFORMFIT Mesh Upper is lightweight and breathable  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Saucony_Endorphin_Pro_3/descpage-SEP3W07.html
