,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Skechers GOrun Razor 4,Women's Shoes - Periwinkle/Purple, $129.95 ," Technologies  MIDSOLE   Hyper Burst Pro is a highly responsive, ultra-lightweight, long-lasting, and resilient TPU cushioning.   Arch Fit insole provides podiatrist-certified arch support.OUTSOLEGoodyear Rubber outsole is strategically placed for added durability and traction. UPPEREngineered Mesh upper is durable, translucent, supportive, and breathable. 3D-Printed Overlays provide support and comfort while keeping weight to a minimum. Molded Heel Counter offers added support and a secure fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Razor_4/descpage-SKR4W1.html
1,Skechers GOrun Razor 4,Women's Shoes - Black/Blue, $99.95 $134.95* ," Technologies  MIDSOLE   Hyper Burst Pro is a highly responsive, ultra-lightweight, long-lasting, and resilient TPU cushioning.   Arch Fit insole provides podiatrist-certified arch support.OUTSOLEGoodyear Rubber outsole is strategically placed for added durability and traction. UPPEREngineered Mesh upper is durable, translucent, supportive, and breathable. 3D-Printed Overlays provide support and comfort while keeping weight to a minimum. Molded Heel Counter offers added support and a secure fit.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Razor_4/descpage-SKR4W2.html
2,Skechers GOrun Persistence,Women's Shoes - Blue/Navy, $99.95 $114.95* , Technologies  MIDSOLEULTRA FLIGHT is a light cushioning that provides a responsive ride with plenty of protection.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole for added durability and traction.UPPERMono Mesh upper is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Persistence/descpage-SKPEW1.html
3,Skechers GOrun Ride 11,Women's Shoes - Pink/Purple, $119.95 , Technologies  MIDSOLEHYPER BURST ICE offers a plush and well cushioned underfoot experienceCARBON PLATE offers a responsive underfoot experience in the forefootOUTSOLEGOODYEAR Rubber offers a enhanced traction to a variety of road conditionsUPPERUpdated Engineered Mesh offers a soft and highly breathable upper6mm HYPERBUST Insole offers a plush step in feel  ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Ride_11/descpage-SKR11W1.html
4,Skechers GOrun Ride 10,Women's Shoes - Black/White, $59.88 $124.95* , Technologies   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Ride_10/descpage-SGR10W2.html
5,Skechers GOrun Ride 10,Women's Shoes - Blue/Aqua, $89.88 $124.95* , Technologies   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Ride_10/descpage-SGR10W1.html
6,Skechers GOrun Max Road 6,Women's Shoes - Blue/Lime, $129.95 ," Technologies  MIDSOLEHYPER BURST ICE is an ultra-light cushioning that provides a highly cushioned midsole with a bouncy nature.Carbon-Infused Plate generates rigidity for a snappier and quicker heel-toe transition.OUTSOLEGoodyear rubber outsole is added for enhanced durability, traction, and flexibility.UPPERUpdated Mesh Upper is a mesh that provides a soft fit, but is lighter and more breathable.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Max_Road_6/descpage-SKMR6W1.html
7,Skechers GOrun Maxroad 5,Women's Shoes - Blue/Turquoise, $89.88 $134.95* ," Technologies  MIDSOLEHYPER BURST is an ultra-light cushioning that provides a highly responsive ride with plenty of protection.M-Strike promotes efficient running mechanics by encouraging a midfoot strike.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole pods are strategically placed for added durability, traction, and flexibility.Resagrip midsole pods promote an efficient midfoot strike.UPPERMono Mesh upper provides a similar fit, but is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Maxroad_5/descpage-SGMR5W2.html
8,Skechers GOrun Maxroad 5,Women's Shoes - Blue, $59.88 $134.95* ," Technologies  MIDSOLEHYPER BURST is an ultra-light cushioning that provides a highly responsive ride with plenty of protection.M-Strike promotes efficient running mechanics by encouraging a midfoot strike.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole pods are strategically placed for added durability, traction, and flexibility.Resagrip midsole pods promote an efficient midfoot strike.UPPERMono Mesh upper provides a similar fit, but is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Maxroad_5/descpage-SGMR5W1.html
9,Skechers GOrun Maxroad 5,Women's Shoes - Navy/Bl, $59.88 $134.95* ," Technologies  MIDSOLEHYPER BURST is an ultra-light cushioning that provides a highly responsive ride with plenty of protection.M-Strike promotes efficient running mechanics by encouraging a midfoot strike.Carbon-Infused H-Plate generates rigidity for a snappier and quicker transition.OUTSOLEGoodyear rubber outsole pods are strategically placed for added durability, traction, and flexibility.Resagrip midsole pods promote an efficient midfoot strike.UPPERMono Mesh upper provides a similar fit, but is lighter and more breathable.Soft overlays provide support and comfort while keeping weight to a minimum.Molded Heel Counter offers added support and a secure fit.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Skechers_GOrun_Maxroad_5/descpage-SKMR5W.html
