,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,On Cloudflow 3,Women's Shoes - Rose/Fiji, $139.95 ," Technologies  MIDSOLECloudtec Elements consist of 18 ""cloud"" pods for a cushioned foot strike that interlocks for a firm push-off.Helion foam provides lightness, cushioning, and durability.Speedboard provides torsional rigidity and increases energy return upon toe-off.OUTSOLECloudTec rubber gives high energy return and increased durability.UPPEREngineered mesh is updated with a weave that adapts to the foot to provide breathable support.Perforated Tongue provides comfort without giving up breathability.Heel Hold adds a secure fit for tighter corners.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudflow_3/descpage-OCLFW2.html
1,On Cloudflow 3,Women's Shoes - Rock/Rose, $139.95 ," Technologies  MIDSOLECloudtec Elements consist of 18 ""cloud"" pods for a cushioned foot strike that interlocks for a firm push-off.Helion foam provides lightness, cushioning, and durability.Speedboard provides torsional rigidity and increases energy return upon toe-off.OUTSOLECloudTec rubber gives high energy return and increased durability.UPPEREngineered mesh is updated with a weave that adapts to the foot to provide breathable support.Perforated Tongue provides comfort without giving up breathability.Heel Hold adds a secure fit for tighter corners.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudflow_3/descpage-OCF02WE.html
2,On Cloudflow 3,Women's Shoes - Mulberry/Mineral, $139.95 ," Technologies  MIDSOLECloudtec Elements consist of 18 ""cloud"" pods for a cushioned foot strike that interlocks for a firm push-off.Helion foam provides lightness, cushioning, and durability.Speedboard provides torsional rigidity and increases energy return upon toe-off.OUTSOLECloudTec rubber gives high energy return and increased durability.UPPEREngineered mesh is updated with a weave that adapts to the foot to provide breathable support.Perforated Tongue provides comfort without giving up breathability.Heel Hold adds a secure fit for tighter corners.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudflow_3/descpage-OCF02WH.html
3,On Cloudgo,Women's Shoes - Black/Eclipse, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGW4.html
4,On Cloudgo,Women's Shoes - Frost/Hay, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGW3.html
5,On Cloudgo,Women's Shoes - White/Glacier, $149.95 ," Technologies  MIDSOLECloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.TPU Speedboard supports the natural rolling motion of the foot.OUTSOLECloudtec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.Closed Outsole Channel keeps rocks and debris from wedging in the midsole. UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.An anatomically designed heel counter helps with pronation.   ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudgo/descpage-ONCGW1.html
6,On Cloudmonster,Women's Shoes - Black/Magnet, $169.95 ," Technologies  MIDSOLEHigh Volume Cloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.OUTSOLECloudTec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.Anatomically designed heel counter helps with pronation.Star Lacing helps create a unique foot wrap that secures the foot in place while relieving unnecessary pressure across the forefoot.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudmonster/descpage-OCMSW07.html
7,On Cloudmonster,Women's Shoes - Nimbus/Hay, $169.95 ," Technologies  MIDSOLEHigh Volume Cloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.OUTSOLECloudTec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.Anatomically designed heel counter helps with pronation.Star Lacing helps create a unique foot wrap that secures the foot in place while relieving unnecessary pressure across the forefoot.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudmonster/descpage-OCMSW03.html
8,On Cloudmonster,Women's Shoes - Undyed-White/Creek, $169.95 ," Technologies  MIDSOLEHigh Volume Cloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.OUTSOLECloudTec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.Anatomically designed heel counter helps with pronation.Star Lacing helps create a unique foot wrap that secures the foot in place while relieving unnecessary pressure across the forefoot.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudmonster/descpage-OCMSW04.html
9,On Cloudmonster,Women's Shoes - Fawn/Turmeric, $169.95 ," Technologies  MIDSOLEHigh Volume Cloudtec Elements allow for a soft and bouncy experience.Helion foam provides lightness, cushioning, and durability.OUTSOLECloudTec rubber increases grip and durability by placing abrasion pads in key areas of the forefoot and heel.UPPEREngineered mesh helps support high-performance running with a smooth, breathable sock-like fit.Anatomically designed heel counter helps with pronation.Star Lacing helps create a unique foot wrap that secures the foot in place while relieving unnecessary pressure across the forefoot.  ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/On_Cloudmonster/descpage-OCMSW05.html
