,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Nike Zoom Pegasus 40,Women's Shoes - White/Black/Milk, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W03.html
1,Nike Zoom Pegasus 40 Premium,Women's Shoes - Pearl Pink, $139.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40_Premium/descpage-NP40PW1.html
2,Nike Zoom Pegasus 40,Women's Shoes - Volt/Crimson, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W07.html
3,Nike Zoom Pegasus 40,Women's Shoes - Black/White/Anthraci, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W01.html
4,Nike Zoom Pegasus 40,Women's Shoes - Black/Yellow/Grey, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W02.html
5,Nike Zoom Pegasus 40,Women's Shoes - White/Silver/Platinu, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W04.html
6,Nike Zoom Pegasus 40,Women's Shoes - Pearl Pink/White, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W06.html
7,Nike Zoom Pegasus 40,Women's Shoes - White/Red/Blue Org, $129.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40/descpage-NP40W05.html
8,Nike Zoom Pegasus 40 Premium,Women's Shoes - White/Multi, $139.95 ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a mid-foot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_40_Premium/descpage-NP40PW0.html
9,Nike Zoom Pegasus 39,Women's Shoes - Bk/Wht/Smoke Grey, $77.88 $130.00* ," Technologies  MIDSOLENike React foam is lightweight, springy, and durable.Zoom Air Units in the forefoot and heel give runners bouncy responsiveness in each stride.OUTSOLEDuralon blown rubber located in the forefoot provides multi-surface traction.BRS 1000 carbon rubber provides durable traction.Waffle outsole design in the forefoot provides multi-surface traction and a touch of cushioning, with adjusted waffle lug positioning to better cushion forces absorbed on impact.Rubber Crash Rail on the lateral side acts as a cushioning device for smoother transitions and enhanced flexibility.UPPEREngineered Mesh upper provides comfortable performance with a more plush feel than before.Flywire technology is integrated with a midfoot band for total support that helps keep your foot in place.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFGW"">Gym Workouts</i><span>Gym Workouts</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFCW"">Casual Wear</i><span>Casual Wear</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WBUWALK"">Walking</i><span>Walking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Nike_Zoom_Pegasus_39/descpage-NPG39W1.html
