,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,adidas adizero Prime X Strung,Unisex Shoes - Pulse Mint, $299.95 , Technologies  MIDSOLELightstrike Pro foam compound offers high rebound and lightweight cushioning.Carbon EnergyRods are embedded in the midsole foam and provide natural foot movement along with an energetic transition through the gait cycle.Carbon EnergyBlades in the forefoot and under the EnergyRods allow for a more stable landing.Carbon Heel Plate optimizes energy return and stability. OUTSOLEContinental Rubber offers flexible durability and excellent traction. UPPEROne-Piece Strung Upper is engineered using innovative technology to provide a snug yet comfortable fit.   ,"[<div class=""col is-active"">Maximal</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFREC"">Cushioned Comfort</i><span>Cushioned Comfort</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Prime_X_Strung/descpage-AAPXM04.html
1,adidas adizero Adios Pro 3,Unisex Shoes - White Tint/Blk, $175.00 $250.00* ," Technologies  MIDSOLELightstrikePRO is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.OUTSOLERubber in the forefoot offers flexible durability while keeping weight to a minimum.Rubber in the heel provides durable traction and midsole from wear.UPPERSingle-Layer Celermesh is lightweight, breathable, and supportive.Heel Pull Tab improves entry to the shoe. Added Overlays in heel and forefoot to improve fit and lockdown   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U5.html
2,adidas adizero Adios Pro 3,Unisex Shoes - Pulse Mint/Blk, $175.00 $250.00* ," Technologies  MIDSOLELightstrikePRO is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.OUTSOLERubber in the forefoot offers flexible durability while keeping weight to a minimum.Rubber in the heel provides durable traction and midsole from wear.UPPERSingle-Layer Celermesh is lightweight, breathable, and supportive.Heel Pull Tab improves entry to the shoe. Added Overlays in heel and forefoot to improve fit and lockdown   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U4.html
3,adidas adizero Adios Pro 3,Unisex Shoes - Solar Red/Metal, $175.00 $250.00* ," Technologies  MIDSOLELightstrikePRO is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.Carbon EnergyRods 2.0 extends the length of the shoe for a smooth and speedy transition at toe-off.OUTSOLERubber in the forefoot offers flexible durability while keeping weight to a minimum.Rubber in the heel provides durable traction and midsole from wear.UPPERSingle-Layer Celermesh is lightweight, breathable, and supportive.Heel Pull Tab improves entry to the shoe. Added Overlays in heel and forefoot to improve fit and lockdown   ","[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Adios_Pro_3/descpage-AAP3U6.html
4,adidas adizero Takumi Sen 9,Unisex Shoes - Pulse Mint, $179.95 ," Technologies  MIDSOLELightstrike Pro is a lightweight midsole compound that provides the perfect balance between cushion and energy return. Glass Fiber EnergyRods in the forefoot delivers a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber in the forefoot offers maximum grip. UPPERPrimegreen mesh is lightweight, breathable, and supportive.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U1.html
5,adidas adizero Takumi Sen 9,Unisex Shoes - Core Black/Met, $179.95 ," Technologies  MIDSOLELightstrike Pro is a lightweight midsole compound that provides the perfect balance between cushion and energy return. Glass Fiber EnergyRods in the forefoot delivers a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber in the forefoot offers maximum grip. UPPERPrimegreen mesh is lightweight, breathable, and supportive.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U2.html
6,adidas adizero Takumi Sen 9,Unisex Shoes - Solar Red, $179.95 ," Technologies  MIDSOLELightstrike Pro is a lightweight midsole compound that provides the perfect balance between cushion and energy return. Glass Fiber EnergyRods in the forefoot delivers a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber in the forefoot offers maximum grip. UPPERPrimegreen mesh is lightweight, breathable, and supportive.  ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Takumi_Sen_9/descpage-AATS9U4.html
7,adidas adizero Boston 11,Women's Shoes - Pulse Mint/White, $127.95 $160.00* , Technologies  MIDSOLELightStrike Pro is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrike is a lightweight midsole compound that adds responsiveness.Energy Rods in the forefoot allow for a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber offers flexible durability while keeping weight to a minimum.UPPERLightweight Mesh is breathable and supportive.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11W6.html
8,adidas adizero Boston 11,Women's Shoes - Wonder Quartz, $127.95 $160.00* , Technologies  MIDSOLELightStrike Pro is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrike is a lightweight midsole compound that adds responsiveness.Energy Rods in the forefoot allow for a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber offers flexible durability while keeping weight to a minimum.UPPERLightweight Mesh is breathable and supportive.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11W7.html
9,adidas adizero Boston 11,Women's Shoes - Black/White/Grey, $127.95 $160.00* , Technologies  MIDSOLELightStrike Pro is a lightweight midsole compound that offers a bouncier and lighter cushioning than its predecessors.LightStrike is a lightweight midsole compound that adds responsiveness.Energy Rods in the forefoot allow for a smooth and speedy transition at toe-off.OUTSOLEContinental Rubber offers flexible durability while keeping weight to a minimum.UPPERLightweight Mesh is breathable and supportive.   ,"[<div class=""col is-active"">High</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-WRDSH"">Roads&amp; Pavement</i><span>Roads&amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/adidas_adizero_Boston_11/descpage-AAB11W4.html
