,title,sex,price,technology,best_use_range,best_use_surface,link_shoes
0,Salomon S-Lab Pulsar 2 SG,Unisex Shoes - Shade/Magnet/Blk, $134.96 $180.00* ," Technologies  MIDSOLEEnergy Foam provides long-lasting cushion and bouncy energy return. Energy Cell foam offers a highly durable and protective midsole layer.Profeel Film acts as a filter between your feet and the terrain.OUTSOLEMud Contagrip offers maximum grip on loose, soft, or rugged uneven surfaces.UPPERMatryx upper made from weaved fibers offers targeted support and breathability.Quicklace minimalistic, one-pull tightening for easy on and easy off.EVA Sockliner is simple but offers instant comfort.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSMT"">Soft &amp; Muddy Trails</i><span>Soft &amp; Muddy Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Pulsar_2_SG/descpage-SLP2SU1.html
1,Salomon S-Lab Pulsar 2,Unisex Shoes - Fiery Red/Red/White, $134.96 $180.00* ," Technologies  MIDSOLE


Energy Foam provides long-lasting cushion and bouncy energy return. 
Energy Cell foam offers a highly durable and protective midsole layer.
Profeel Film acts as a filter between your feet and the terrain.

OUTSOLE

All Terrain Contagrip is built for the widest variety of surfaces.  



UPPER



Matryx upper made from weaved fibers offers targeted support and breathability.
Quicklace minimalistic, one-pull tightening for easy on and easy off.
EVA Sockliner is simple but offers instant comfort.





  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Pulsar_2/descpage-SSLP2U1.html
2,Salomon S-Lab Pulsar,Unisex Shoes - Vapor Blue/White, $114.88 $180.00* ," Technologies  MIDSOLE


Energy Surge provides excellent energy return along with a high level of cushioning and durability. 
Profeel Film acts as a filter between your feet and the terrain.

OUTSOLE

Contagrip TA offers maximum grip on loose, soft, or rugged uneven surfaces.  



UPPER



Matryx upper made from weaved fibers offers targeted support and breathability.
Quicklace minimalistic, one-pull tightening for easy on and easy off.
EVA Sockliner is simple but offers instant comfort.





  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Pulsar/descpage-SWPUVB.html
3,Salomon Pulsar Trail Pro,Men's Shoes - Marmalade/Org/Blk, $49.88 $160.00* ," Technologies  MIDSOLEEnergy Surge provides excellent energy return along with a high level of cushioning and durability. Energy Blade TPU Forked Plate is less stiff than carbon fiber and allows for more flexibility and adaptability on the trails. Reverse Camber geometry provides a smooth rocker shape.OUTSOLEContagrip MA offers maximum grip on loose, soft, or rugged uneven surfaces.  UPPERMesh upper made with TPU film protection around the toes and back of the foot.Quicklace minimalistic, one-pull tightening for easy on and easy off.EVA Sockliner is simple but offers instant comfort.SensiFit cradles the foot in the midfoot providing a customizable fit.    ","[<div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_Pulsar_Trail_Pro/descpage-SPTPM03.html
4,Salomon S-Lab Phantasm CF,Unisex Shoes - Racing Red, $168.71 $225.00* , Technologies   ,"[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MRDSH"">Roads &amp; Pavement</i><span>Roads &amp; Pavement</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Phantasm_CF/descpage-SSPHUC1.html
5,Salomon S-Lab Genesis,Unisex Shoes - Quite Shade/Ebony/Su, $142.96 $200.00* ," Technologies  MIDSOLEEnergyCell+ provides excellent energy return along with a high level of cushioning and durability.ProFeel Film is a thin TPU film in the midsole providing midfoot protection without losing ground feel.OUTSOLEContagripTA offers maximum grip on loose, soft, or rugged uneven surfaces.Chevron Lugs are aggressive and multi-directional making them perfect for soft surfaces.UPPERMatryx Fabric provides durability without added weightQuicklace is a lace system made from durable Kevlar fibers for easy shoe entry and exit.Sensifit overlays on the upper wrap the foot for a close, secure fit.A gusseted Tongue helps keep debris out of the shoe.Lace Pocket keeps laces tucked up and out of the way.OrthoLite Sockliner is composed of anti-bacterial material and is designed to reduce odor and moisture while adding cushion directly underfoot.Strobel Last with the upper stitched to full-length fabric for a comfortable underfoot feel.   ","[<div class=""col is-active"">Medium</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSHEDM"">All Around</i><span>All Around</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MBUHIKE"">Hiking</i><span>Hiking</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Genesis/descpage-SSLGEU1.html
6,Salomon S-Lab Ultra 3 v2,Unisex Shoes - Plum Perfect/Red, $134.96 $180.00* ," Technologies  MIDSOLEEnergy Save foam for a responsive toe-off while adding impact protection.EnergyCell+ is a lightweight foam material that provides long lasting rebound.ProFeel Film is a thin TPU film in the midsole providing midfoot protection without losing ground feel.OUTSOLEContagrip offers non-slip traction for the toughest of trails.UPPERMatryx© Mesh is breathable, ultra-resistant, and provides a sock-like fit.Quicklace made from durable Kevlar fibers provides easy shoe entry and exit and a secure fit.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSTF"">Smooth Trails &amp; Fireroads</i><span>Smooth Trails &amp; Fireroads</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Ultra_3_v2/descpage-SLU32U1.html
7,Salomon S-Lab Ultra 3,Unisex Shoes - India Ink/Coral/Blk, $114.88 $200.00* ," Technologies  MIDSOLEEnergy Save foam for a responsive toe-off while adding impact protection. EnergyCell+ is a lightweight foam material that provides long lasting rebound.ProFeel Film is a thin TPU film in the midsole providing midfoot protection without losing ground feel.OUTSOLEContagrip MA offers non-slip traction for the toughest of trails.UPPERSkinGuard upper with TPU mesh increases durability.Endofit is a sock-like upper that yields unmatched comfort and fit.Tongue Cover keeps shoe free from debris.Seamless Sensifit overlays on the upper wrap the foot for a close, secure fit.Asymmetrical Quicklace made from durable Kevlar fibers provides easy shoe entry and exit and a secure fit.Lace Pocket tucks laces out of the way while running.Molded EVA Sockliner adds cushion directly underfoot for a softer running experience.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Ultra_3/descpage-SSLUU32.html
8,Salomon S-Lab Ultra 3,Unisex Shoes - Maverick/Racing Red, $114.88 $180.00* ," Technologies  MIDSOLEEnergy Save foam for a responsive toe-off while adding impact protection. EnergyCell+ is a lightweight foam material that provides long lasting rebound.ProFeel Film is a thin TPU film in the midsole providing midfoot protection without losing ground feel.OUTSOLEContagrip MA offers non-slip traction for the toughest of trails.UPPERSkinGuard upper with TPU mesh increases durability.Endofit is a sock-like upper that yields unmatched comfort and fit.Tongue Cover keeps shoe free from debris.Seamless Sensifit overlays on the upper wrap the foot for a close, secure fit.Asymmetrical Quicklace made from durable Kevlar fibers provides easy shoe entry and exit and a secure fit.Lace Pocket tucks laces out of the way while running.Molded EVA Sockliner adds cushion directly underfoot for a softer running experience.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Ultra_3/descpage-SSLUU31.html
9,Salomon S-Lab Pulsar 2 SG,Unisex Shoes - Shade/Magnet/Blk, $134.96 $180.00* ," Technologies  MIDSOLEEnergy Foam provides long-lasting cushion and bouncy energy return. Energy Cell foam offers a highly durable and protective midsole layer.Profeel Film acts as a filter between your feet and the terrain.OUTSOLEMud Contagrip offers maximum grip on loose, soft, or rugged uneven surfaces.UPPERMatryx upper made from weaved fibers offers targeted support and breathability.Quicklace minimalistic, one-pull tightening for easy on and easy off.EVA Sockliner is simple but offers instant comfort.  ","[<div class=""col is-active"">Low</div>, <div class=""col is-active"">Neutral</div>]","[<div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFUPR"">Fast Runs</i><span>Fast Runs</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MSBFRAC"">Racing</i><span>Racing</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSRTT"">Rocky &amp; Technical Trails</i><span>Rocky &amp; Technical Trails</span></div> </div>, <div class=""col-6 col-md-4 bestuse-type""> <div class=""row no-gutters""><i class=""icon is-lg icon-MTSSMT"">Soft &amp; Muddy Trails</i><span>Soft &amp; Muddy Trails</span></div> </div>]",https://www.runningwarehouse.com/Salomon_S-Lab_Pulsar_2_SG/descpage-SLP2SU1.html
